Company_Name,Type,Text join
Walmart,Public,Walmart-Amazon-Apple-CVS Health-UnitedHealth Group-Exxon Mobil-Berkshire Hathaway-Alphabet-McKesson-AmerisourceBergen-Costco Wholesale-Cigna-AT&T-Microsoft-Cardinal Health-Chevron-Home Depot-Walgreens Boots Alliance-Marathon Petroleum-Anthem-Kroger-Ford Motor-Verizon Communications-JPMorgan Chase-General Motors-Centene-Meta Platforms-Comcast-Phillips 66-Valero Energy-Dell Technologies-Target-Fannie Mae-UPS-Lowe's-Bank of America-Johnson & Johnson-Archer Daniels Midland-FedEx-Humana-Wells Fargo-State Farm Insurance-Pfizer-Citigroup-PepsiCo-Intel-Procter & Gamble-General Electric-IBM-MetLife-Prudential Financial-Albertsons-Walt Disney-Energy Transfer-Lockheed Martin-Freddie Mac-Goldman Sachs Group-Raytheon Technologies-HP-Boeing-Morgan Stanley-HCA Healthcare-AbbVie-Dow-Tesla-Allstate-AIG-Best Buy-Charter Communications-Sysco-Merck-New York Life Insurance-Caterpillar-Cisco Systems-TJX-Publix Super Markets-ConocoPhillips-Liberty Mutual Insurance Group-Progressive-Nationwide-Tyson Foods-Bristol-Myers Squibb-Nike-Deere-American Express-Abbott Laboratories-StoneX Group-Plains GP Holdings-Enterprise Products Partners-TIAA-Oracle-Thermo Fisher Scientific-Coca-Cola-General Dynamics-CHS-USAA-Northwestern Mutual-Nucor-Exelon-Massachusetts Mutual Life Insurance-Northrop Grumman-3M-Travelers-Arrow Electronics-Honeywell International-Dollar General-Qualcomm-Capital One Financial-TD Synnex-Philip Morris International-World Fuel Services-Performance Food Group-Delta Air Lines-American Airlines Group-Netflix-Paramount Global-US Foods Holding-Danaher-Jabil-Starbucks-Mondelez International-Eli Lilly-Hewlett Packard Enterprise-D.R. Horton-Molina Healthcare-CBRE Group-Micron Technology-Broadcom-Gilead Sciences-PBF Energy-Lennar-United Natural Foods-NRG Energy-Nvidia-Occidental Petroleum-Salesforce-Dollar Tree-KKR-Kraft Heinz-Amgen-AutoNation-Penske Automotive Group-PayPal Holdings-Macy's-Duke Energy-United Airlines Holdings-Visa-Rite Aid-Cummins-U.S. Bancorp-Paccar-McDonald's-Southern-C.H. Robinson Worldwide-Truist Financial-Applied Materials-Freeport-McMoRan-Lithia Motors-Blackstone-Hartford Financial Services Group-Aflac-Whirlpool-Union Pacific-International Paper-Altria Group-CDW-ManpowerGroup-PG&E-Carrier Global-Baker Hughes-Cleveland-Cliffs-United States Steel-Becton Dickinson-CarMax-Sherwin-Williams-Builders FirstSource-Marsh & McLennan-PNC Financial Services Group-Lumen Technologies-Avnet-Tenet Healthcare-Kimberly-Clark-Kohl's-BlackRock-Jones Lang LaSalle-Lear-Lincoln National-Charles Schwab-Ross Stores-Mastercard-Genuine Parts-WestRock-EOG Resources-Cognizant Technology Solutions-Moderna-Steel Dynamics-HF Sinclair-Texas Instruments-Emerson Electric-WESCO International-General Mills-Tenneco-Waste Management-Viatris-DISH Network-L3Harris Technologies-DXC Technology-Block-Goodyear Tire & Rubber-Uber Technologies-Colgate-Palmolive-Stanley Black & Decker-DuPont-Stryker-NextEra Energy-Targa Resources-Western Digital-PPG Industries-American Electric Power-Gap-BJ's Wholesale Club-Reinsurance Group of America-Kinder Morgan-Oneok-Expeditors Intl. of Washington-Advanced Micro Devices-Fiserv-Estée Lauder-Bank of New York Mellon-Laboratory Corp. of America-Regeneron Pharmaceuticals-Land O'Lakes-Cheniere Energy-Southwest Airlines-Adobe-Synchrony Financial-Corteva-Fidelity National Financial-DTE Energy-Murphy USA-Halliburton-Automatic Data Processing-Edison International-BorgWarner-Nordstrom-Loews-Guardian Life Ins. Co. of America-Pioneer Natural Resources-AutoZone-Lam Research-American Family Insurance Group-Illinois Tool Works-Parker-Hannifin-Otis Worldwide-Omnicom Group-Principal Financial-Dominion Energy-Kellogg-Fluor-AECOM-Reliance Steel & Aluminum-Jacobs Engineering Group-Corning-Farmers Insurance Exchange-Qurate Retail-Pacific Life-PulteGroup-Fidelity National Information Services-IQVIA Holdings-Marriott International-Berry Global Group-Ball-Group 1 Automotive-Leidos Holdings-Wayfair-Consolidated Edison-Ameriprise Financial-Xcel Energy-O'Reilly Automotive-Global Partners-Discover Financial Services-Rocket Companies-LKQ-W.W. Grainger-Quanta Services-Crown Holdings-Fox-Sempra-Markel-Carvana-XPO Logistics-Baxter International-Ecolab-Tractor Supply-Andersons-Keurig Dr Pepper-Universal Health Services-CSX-Henry Schein-Sonic Automotive-eBay-Textron-Jones Financial (Edward Jones)-Community Health Systems-Mosaic-Thor Industries-Dick's Sporting Goods-Newmont-Devon Energy-Warner Bros. Discovery-J.B. Hunt Transport Services-Alcoa-Peter Kiewit Sons'-Aramark-Vistra-State Street-Unum Group-Alleghany-Boston Scientific-Westlake-Entergy-International Flavors & Fragrances-DaVita-Mutual of Omaha Insurance-Assurant-Liberty Media-Hormel Foods-Icahn Enterprises-Republic Services-Mohawk Industries-Conagra Brands-Norfolk Southern-AES-AGCO-Caesars Entertainment-Equitable Holdings-Advance Auto Parts-Biogen-Auto-Owners Insurance-Booking Holdings-Amphenol-Quest Diagnostics-FirstEnergy-DCP Midstream-Ally Financial-Delek US Holdings-Williams-Newell Brands-Eastman Chemical-Air Products & Chemicals-Thrivent Financial for Lutherans-Molson Coors Beverage-Interpublic Group-Weyerhaeuser-Altice USA-Raymond James Financial-EMCOR Group-Eversource Energy-Yum China Holdings-Asbury Automotive Group-Owens & Minor-Public Service Enterprise Group-United Rentals-MGM Resorts International-Ryder System-Intuit-Cincinnati Financial-Erie Insurance Group-Univar Solutions-Huntington Ingalls Industries-W.R. Berkley-Western & Southern Financial Group-Insight Enterprises-News Corp.-American Tower-Old Republic International-Burlington Stores-Avis Budget Group-ODP-VF-Bed Bath & Beyond-Seaboard-First American Financial-Intercontinental Exchange-PVH-Apollo Global Management-Jefferies Financial Group-Hershey-NVR-Foot Locker-Dana-SpartanNash-Olin-Chewy-Jackson Financial-Activision Blizzard-Toll Brothers-Carlyle Group-Graybar Electric-Ovintiv-UFP Industries-Ulta Beauty-Constellation Brands-Expedia Group-CommScope Holding-Celanese-Global Payments-Owens Corning-Campbell Soup-Huntsman-Franklin Resources-Avery Dennison-Masco-CenterPoint Energy-Fifth Third Bancorp-WEC Energy Group-S&P Global-FM Global-Polaris-Williams-Sonoma-Autoliv-Arthur J. Gallagher-Motorola Solutions-Zillow Group-Opendoor Technologies-J.M. Smucker-Realogy Holdings-Oshkosh-MasTec-GXO Logistics-APA-Boise Cascade-Dover-Genworth Financial-Bath & Body Works-Booz Allen Hamilton Holding-Coinbase Global-Zimmer Biomet Holdings-Westinghouse Air Brake Technologies-Zoetis-Packaging Corp. of America-LPL Financial Holdings-T. Rowe Price-Fortune Brands Home & Security-Casey's General Stores-A-Mark Precious Metals-Hess-Vertex Pharmaceuticals-KeyCorp-Chipotle Mexican Grill-CMS Energy-Arconic-Taylor Morrison Home-American Financial Group-UGI-Science Applications International-Avantor-Hanesbrands-Clorox-KBR-TravelCenters of America-Hertz Global Holdings-Analog Devices-Securian Financial Group-Darden Restaurants-Graphic Packaging Holding-NCR-Brighthouse Financial-PPL-Cintas-Xerox Holdings-Rockwell Automation-Citizens Financial Group-KLA-Camping World Holdings-Ingredion-Veritiv-Beacon Roofing Supply-Diamondback Energy-Victoria's Secret-Academy Sports and Outdoors-Sanmina-ON Semiconductor-Commercial Metals-EnLink Midstream-Southwestern Energy-Equinix-Dillard's-Regions Financial-Yum Brands-Landstar System-CF Industries Holdings-Northern Trust-Robert Half International-Compass-Hasbro-Roper Technologies-ARKO-Frontier Communications-Ameren-O-I Glass-Chemours-Crown Castle International-Agilent Technologies-McCormick-Skechers U.S.A.-Watsco-Live Nation Entertainment-Lululemon athletica-ABM Industries-Post Holdings-Moody's-Select Medical Holdings-Alaska Air Group-Big Lots-Amkor Technology-Sinclair Broadcast Group-RPM International-M&T Bank-Sprouts Farmers Market-Huntington Bancshares-CACI International-JetBlue Airways-SVB Financial Group-Fastenal-GameStop-Knight-Swift Transportation Holdings-Airbnb-Patterson-Penn National Gaming-ServiceNow-Nasdaq-Brunswick-Resideo Technologies-Chesapeake Energy-Petco Health and Wellness-Kemper-Hilton Worldwide Holdings-Cerner-Levi Strauss-Tapestry-NetApp-KB Home-Continental Resources-Intuitive Surgical-Under Armour-MDU Resources Group-Silgan Holdings-Ryerson Holding-Ingersoll Rand-Hologic-Electronic Arts-Zebra Technologies-Coty-Schneider National-Sonoco Products-Concentrix-Evergy-Cornerstone Building Brands-Coca-Cola Consolidated-Greif-Vulcan Materials-Ametek-Monster Beverage-Sealed Air-NOV-Las Vegas Sands-Martin Marietta Materials-Marathon Oil-Mattel-Microchip Technology-Harley-Davidson-Telephone & Data Systems-ADT-First Republic Bank-Warner Music Group-Pool-Old Dominion Freight Line-Fortive-MDC Holdings-NGL Energy Partners-Edwards Lifesciences-Hanover Insurance Group-Syneos Health-Xylem-Church & Dwight-American Axle & Manufacturing-Meritage Homes-Workday-Rush Enterprises-Yellow-Encompass Health-Simon Property Group-Globe Life-Skyworks Solutions-Endeavor Group Holdings-Twitter-Leggett & Platt-Western Union-PerkinElmer-SS&C Technologies Holdings-CUNA Mutual Group-FMC-Carlisle-American Eagle Outfitters-Core & Main-Vertiv Holdings-Broadridge Financial Solutions-Ingles Markets-TPG-Insperity-Howmet Aerospace-R.R. Donnelley & Sons-Keysight Technologies-Tempur Sealy International-Scotts Miracle-Gro-Equifax-Kelly Services-NiSource-OneMain Holdings-DoorDash-Avient-Sanderson Farms-TransDigm Group-Stifel Financial-JELD-WEN Holding-Ares Management-Elanco Animal Health-Prologis-Welltower-Darling Ingredients-Juniper Networks-Gartner-Par Pacific Holdings-Hubbell-CME Group-Nexstar Media Group-Tutor Perini-Antero Resources-Teledyne Technologies-Snap-on-Rent-A-Center-Covetrus-Crestwood Equity Partners-Louisiana-Pacific-Urban Outfitters-Penn Mutual Life Insurance-Amerco-TriNet Group-Sentry Insurance Group-Illumina-Iron Mountain-LCI Industries-Marvell Technology-PennyMac Financial Services-Digital Realty Trust-TreeHouse Foods-Ralph Lauren-Mattress Firm Group-American National Group-Autodesk-Domino's Pizza-ASGN-Flowers Foods-BlueLinx Holdings-Palo Alto Networks-Maximus-Dentsply Sirona-Hub Group-Voya Financial-Bread Financial Holdings-Weis Markets-Century Communities-Synopsys-Brink's-Lennox International-Service Corp. International-Conduent-Timken-Domtar-Bloomin' Brands-CNO Financial Group-Snap-Zoom Video Communications-Patrick Industries-Paychex-Atlas Air Worldwide Holdings-Bright Health Group-Peloton Interactive-Country Financial-Qorvo-Catalent-Mercury General-AMN Healthcare Services-Tri Pointe Homes-ArcBest-Toro-Spirit AeroSystems Holdings-Align Technology-loanDepot-APi Group-American Water Works-Matson-Diebold Nixdorf-Marriott Vacations Worldwide-Terex-Sally Beauty Holdings-Enovis-IAC/InterActiveCorp-Meritor-Ventas-GoDaddy-Regal Rexnord-Puget Energy-Clean Harbors-Pinnacle West Capital-eXp World Holdings-Mueller Industries-Wynn Resorts-RH-EPAM Systems-M/I Homes-Generac Holdings-Mettler-Toledo International-Abercrombie & Fitch-Teradyne-American Equity Investment Life Holding-Southwest Gas Holdings-Pitney Bowes-Lamb Weston Holdings-Alliant Energy-Resolute Forest Products-Parsons-Trimble-OGE Energy-Garrett Motion-Winnebago Industries-Ciena-PriceSmart-Advantage Solutions-H&R Block-iHeartMedia-Super Micro Computer-Flowserve-Charles River Laboratories International-A.O. Smith-New Residential Investment-Medical Mutual of Ohio-Granite Construction-Valmont Industries-Sprague Resources-Primoris Services-Cboe Global Markets-Carter's-TopBuild-SiteOne Landscape Supply-Texas Roadhouse-Akamai Technologies-Acuity Brands-Brown-Forman-Navient-Coterra Energy-Option Care Health-Floor & Decor Holdings-Public Storage-Cabot-Crane Holdings-Atmos Energy-Selective Insurance Group-Take-Two Interactive Software-Boyd Gaming-Plexus-ScanSource-Franchise Group-NLV Financial-CrossAmerica Partners-Mr. Cooper Group-Fortinet-Brinker International-Albemarle-Peabody Energy-Light & Wonder-Evercore-Stewart Information Services-Central Garden & Pet-GMS-H.B. Fuller-Middleby-Renewable Energy Group-MSC Industrial Direct-Vishay Intertechnology-Applied Industrial Technologies-Lincoln Electric Holdings-First Horizon-Spirit Airlines-AptarGroup-Citrix Systems-IDEXX Laboratories-Tetra Tech-Lyft-Gannett-ResMed-Designer Brands-Graham Holdings-Vroom-Worthington Industries-Calumet Specialty Products Partners-Xilinx-TransUnion-Travel + Leisure-Callaway Golf-Dycom Industries-Columbia Sportswear-II-VI-Change Healthcare-Grocery Outlet Holding-AMC Networks-Hyster-Yale Materials Handling-ChampionX-Comfort Systems USA-EQT-Brown & Brown-LGI Homes-Hyatt Hotels-Comerica-Energizer Holdings-Hill-Rom Holdings-Rackspace Technology-Verisk Analytics-Spectrum Brands Holdings-Euronet Worldwide-TEGNA-Vontier-Cadence Design Systems-Incyte-Match Group-Valvoline-EnerSys-Avaya Holdings-UWM Holdings-Zions Bancorp.-Quad/Graphics-MKS Instruments-Arista Networks-Interactive Brokers Group-Range Resources-Atkore-Cheesecake Factory-First Solar-Bio-Rad Laboratories-Cooper Cos.-Envista Holdings-Alight-Newmark Group-PC Connection-Host Hotels & Resorts-Boston Properties-Western Midstream Partners-Magellan Midstream Partners-Hillenbrand-Donaldson-Moog-Hawaiian Electric Industries-Five Below-Twilio-Univision Communciations-Annaly Capital Management-Fleetcor Technologies-West Pharmaceutical Services-Green Plains-Cracker Barrel Old Country Store-Virtu Financial-Teleflex-Zynga-Allegheny Technologies-AppLovin-Waters-Mutual of America Life Insurance-Hovnanian Enterprises-Amica Mutual Insurance-Caleres-FTI Consulting-Overstock.com-Visteon-G-III Apparel Group-ITT-IDEX-Popular-Roku-Schnitzer Steel Industries-Brookdale Senior Living-Werner Enterprises-Americold Realty Trust-SkyWest-Primerica-McAfee-Nu Skin Enterprises-Copart-PROG Holdings-Splunk-MRC Global-Stericycle-Maxim Integrated Products-Ensign Group-SM Energy-Kaiser Aluminum-Federated Mutual Insurance-F5-Steelcase-Encore Wire-Guess-Playtika Holding-Pinterest-WeWork-ManTech International-BrightView Holdings-NortonLifeLock-Deckers Outdoor-Griffon-AMC Entertainment Holdings-Curtiss-Wright-MYR Group-Kontoor Brands-Liberty Energy-Knights of Columbus-AdaptHealth-MillerKnoll-Equity Residential-DexCom-Rollins-Genesco-Bruker-Joann-Wolverine World Wide-Gray Television-Affiliated Managers Group-Summit Materials-SLM-Belden-Allison Transmission Holdings-Element Solutions-Portland General Electric-REV Group-Acadia Healthcare-Alexandria Real Estate Equities-Nordson-NewMarket-Ohio National Mutual-Stepan-Valhi-Hilton Grand Vacations-Cooper-Standard Holdings-Etsy-Crocs-Olympic Steel-Signature Bank-SBA Communications-Murphy Oil-Entegris-AvalonBay Communities-Saia-E.W. Scripps-TTEC Holdings-Sun Communities-Alpha Metallurgical Resources-GEO Group-Viasat-Benchmark Electronics-Kar Auction Services-TTM Technologies-Kirby-Woodward-Clear Channel Outdoor Holdings-Spire-Vista Outdoor-Surgery Partners-LHC Group-Amedisys-Century Aluminum-Arch Resources-Aerojet Rocketdyne Holdings-Sleep Number-HNI-Pure Storage-TrueBlue-Party City Holdco-Dun & Bradstreet Holdings-Dropbox-New Jersey Resources-Acushnet Holdings-Harsco-Beazer Homes USA-Chemed-Genesis Energy-BWX Technologies-Vizio Holding-1-800-Flowers.com-Cowen-Ashland Global Holdings-DocuSign
Amazon,Public,
Apple,Public,
CVS Health,Public,
UnitedHealth Group,Public,
Exxon Mobil,Public,
Berkshire Hathaway,Public,
Alphabet,Public,
McKesson,Public,
AmerisourceBergen,Public,
